year,week,status,file_name,url
2024,44th,success,week_44.pdf,https://drive.google.com/uc?export=download&id=1IODkFK_BavqO6G38T5jFvlzkOpUjn3En
2024,45th,success,week_45.pdf,https://drive.google.com/uc?export=download&id=1wsWUF7CyysoU1kObUGMj8AEkd_NdDfWb
2024,46th,success,week_46.pdf,https://drive.google.com/uc?export=download&id=1aEF2AI-e-XLx29QWfA4JBAWsSmnu9QcZ
2024,47th,success,week_47.pdf,https://drive.google.com/uc?export=download&id=1gpGTcGuBf4ZyDJK6FXMsu9yxzw0WsiYi
2024,48th,success,week_48.pdf,https://drive.google.com/uc?export=download&id=1Wj4RIO8qr0ofT__7MdINowHUKXDe9x6l
2024,49th,success,week_49.pdf,https://drive.google.com/uc?export=download&id=1Ll2rwBUaPWq9q9BKPCRQGYnQ9Jwgk2dp
2024,50th,success,week_50.pdf,https://drive.google.com/uc?export=download&id=1WL87VTQwhGyTmpCGGi3XanbcO4Ltj5cb
2024,51st,success,week_51.pdf,https://drive.google.com/uc?export=download&id=1nLk5mRjguqOvbz__-6rFWBg7H0HvmRau
2024,52nd,success,week_52.pdf,https://drive.google.com/uc?export=download&id=1KSBt394Clc-njJck9l-MsxsO8wiZEP0_
2025,1st,success,week_01.pdf,https://drive.google.com/uc?export=download&id=1S-Nw1WSp_GngcPFZt354ebS8VPBD-DI9
2025,2nd,success,week_02.pdf,https://drive.google.com/uc?export=download&id=1NTa_RiSHFz2tgglo1MO2Uzlxz3-sMZRY
2025,3rd,success,week_03.pdf,https://drive.google.com/uc?export=download&id=1sm_Cbbu10StWvDdyxYQ9pCCapLApoBf2
2025,4th,success,week_04.pdf,https://drive.google.com/uc?export=download&id=1PS4CQgeY7LhJzzsdmAsAZmtFVV5nlSqn
2025,5th,success,week_05.pdf,https://drive.google.com/uc?export=download&id=19MJ_El2lAqjKWs1pw4mDOo7-toNAWOP9
2025,6th,success,week_06.pdf,https://drive.google.com/uc?export=download&id=1rB7lRuFPJehunDAEi4fCK0g6gFBAbj11
2025,7th,success,week_07.pdf,https://drive.google.com/uc?export=download&id=1WuXv-B_RFfcga4aW517mzPQvaVt8usZ9
2025,8th,success,week_08.pdf,https://drive.google.com/uc?export=download&id=1Dn7BmPtXMj23YbosQJDEmh_9V_unjAfb
2025,9th,"error: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",week_09.pdf,https://drive.google.com/uc?export=download&id=1Ouw_woI_VEoLfqpB3ohZZienm6bzDTP4
2025,10th,success,week_10.pdf,https://drive.google.com/uc?export=download&id=1SlbSsNJcNn8e98GAkw_ZV8RCie5LAMvk
2025,11th,success,week_11.pdf,https://drive.google.com/uc?export=download&id=14pv1Xhz_gN3Z2i-DoeXyMEoyTh-djy9D
2025,12th,success,week_12.pdf,https://drive.google.com/uc?export=download&id=1EfzGMXjKtgCTqPaEwE5SG9gjoFbxVN0k
2025,13th,success,week_13.pdf,https://drive.google.com/uc?export=download&id=17KUukYNBjx8JXYRyFWFe9ENe2JFCnPTi
2025,14th,success,week_14.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/19859808031748855005.pdf
2025,15th,success,week_15.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/73169914541749106418.pdf
2025,16th,success,week_16.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/16111524191749201952.pdf
