billing_month,month_label,root_state_name,gross_sale_amt,gross_sale_qty,fresh_ret_amt,net_sale_amt,net_sale_qty,return_rate_pct,net_sale_ratio,avg_temperature,avg_temperature_c,avg_humidity,total_rainfall_mm,weather_imputed,imputation_method,weather_obs_count
202405,May-2024,TAMIL NADU,1713950.0445,25940.7637,334.08,1709423.7771,25823.0892,0.02,99.74,101.27,38.48,25.1,0.0,False,observed,3.0
202406,Jun-2024,TAMIL NADU,2115405.6144,31951.4591,0.0,2112375.4211,31885.1889,0.0,99.86,95.92,35.51,42.85,8.98,False,observed,30.0
202407,Jul-2024,TAMIL NADU,2515382.9286,37873.6343,11128.2147,2501200.2678,37598.2473,0.44,99.44,88.4,31.33,79.62,11.28,False,observed,31.0
202408,Aug-2024,TAMIL NADU,2267069.5676,34147.5908,0.0,2256408.7289,33929.4222,0.0,99.53,84.98,29.43,85.19,12.31,False,observed,31.0
202409,Sep-2024,TAMIL NADU,2607060.6952,39364.2371,0.0,2604504.4795,39312.1255,0.0,99.9,83.55,28.64,83.3,7.35,False,observed,30.0
202410,Oct-2024,TAMIL NADU,2741158.6571,41340.9279,3612.0963,2734564.5883,41215.4958,0.13,99.76,82.18,27.88,62.35,0.0,False,observed,31.0
202411,Nov-2024,TAMIL NADU,3915357.7717,59059.0523,0.0,3912179.9866,58996.3931,0.0,99.92,70.61,21.45,67.33,0.0,False,observed,30.0
202412,Dec-2024,TAMIL NADU,2779922.4969,41995.0446,0.0,2768060.9507,41754.886,0.0,99.57,58.56,14.76,69.89,2.04,False,observed,31.0
202501,Jan-2025,TAMIL NADU,2962911.471,44797.8178,6718.0946,2953275.4832,44619.2383,0.23,99.67,56.87,13.82,81.83,0.24,False,observed,31.0
202502,Feb-2025,TAMIL NADU,2145767.5035,32464.7656,3340.2,2136276.3358,32286.3573,0.16,99.56,65.28,18.49,63.6,0.4,False,observed,28.0
202503,Mar-2025,TAMIL NADU,1076227.0096,16416.365,18037.08,1054018.4954,16007.2912,1.68,97.94,74.74,23.74,48.71,0.03,False,observed,31.0
202504,Apr-2025,TAMIL NADU,2164538.4105,32863.8535,0.0,2157016.1267,32713.9462,0.0,99.65,87.29,30.72,35.11,0.04,False,observed,30.0
202505,May-2025,TAMIL NADU,1763714.8222,26574.6635,0.0,1756159.1727,26435.1888,0.0,99.57,88.49,31.38,53.61,4.44,False,observed,31.0
202506,Jun-2025,TAMIL NADU,1880068.6966,28332.5116,1336.08,1875783.4678,28253.6711,0.07,99.77,89.97,32.21,61.64,2.76,False,observed,30.0
202507,Jul-2025,TAMIL NADU,2085633.1778,31284.4979,3228.86,2073501.3037,31060.9573,0.15,99.42,85.68,29.82,80.8,11.11,False,observed,31.0
202508,Aug-2025,TAMIL NADU,1795274.6554,26619.6406,1002.06,1787976.3875,26487.6896,0.06,99.59,84.63,29.24,82.14,14.45,False,observed,31.0
202509,Sep-2025,TAMIL NADU,2735611.1745,40768.3389,2641.7982,2726996.6517,40614.1587,0.1,99.69,85.43,29.68,73.35,6.53,False,observed,30.0
202510,Oct-2025,TAMIL NADU,2423332.7019,36037.6372,0.0,2420659.0749,35990.7365,0.0,99.89,77.27,25.15,72.72,2.46,False,observed,31.0
202511,Nov-2025,TAMIL NADU,2734840.1782,40610.1096,0.0,2728614.8845,40493.3563,0.0,99.77,65.84,18.8,64.74,0.0,False,observed,30.0
202512,Dec-2025,TAMIL NADU,2179355.3195,32356.238,0.0,2175209.1084,32281.9837,0.0,99.81,58.31,14.62,75.33,0.0,False,observed,31.0
202601,Jan-2026,TAMIL NADU,2196816.3747,32574.5025,7476.48,2182576.6615,32322.7856,0.34,99.35,54.63,12.57,78.79,2.53,False,observed,31.0
202602,Feb-2026,TAMIL NADU,2057474.0997,30662.9063,16992.0,2026729.5343,30112.8985,0.83,98.51,65.45,18.58,66.88,0.68,False,observed,28.0
202603,Mar-2026,TAMIL NADU,1220431.4086,18192.5735,2039.04,1214241.3048,18078.7064,0.17,99.49,76.3,24.61,58.33,1.12,False,observed,31.0
202604,Apr-2026,TAMIL NADU,1794509.9853,26630.3557,0.0,1791213.9444,26568.5079,0.0,99.82,85.5,29.72,38.26,1.05,False,observed,30.0
202605,May-2026,TAMIL NADU,1906532.5502,28223.3758,0.0,1901455.8782,28123.2959,0.0,99.73,91.53,33.07,39.03,0.83,False,observed,29.0
202606,Jun-2026,TAMIL NADU,380114.6286,5626.8718,0.0,375818.2734,5550.0257,0.0,98.87,92.94,33.86,52.24,5.87,True,monthly_climatology,
