billing_month,month_label,root_state_name,gross_sale_amt,gross_sale_qty,fresh_ret_amt,net_sale_amt,net_sale_qty,return_rate_pct,net_sale_ratio,avg_temperature,avg_temperature_c,avg_humidity,total_rainfall_mm,weather_imputed,imputation_method,weather_obs_count
202509,Sep-2025,PUNJAB,474793.838,6991.6495,0.0,462715.7279,6770.6497,0.0,97.46,85.43,29.68,73.35,6.53,False,observed,30.0
202510,Oct-2025,PUNJAB,480907.5075,7086.3504,0.0,477934.083,7032.2983,0.0,99.38,77.27,25.15,72.72,2.46,False,observed,31.0
202511,Nov-2025,PUNJAB,450607.0652,6637.8148,0.0,448599.3956,6600.7543,0.0,99.55,65.84,18.8,64.74,0.0,False,observed,30.0
202512,Dec-2025,PUNJAB,329337.875,4852.4114,0.0,321869.1835,4712.2578,0.0,97.73,58.31,14.62,75.33,0.0,False,observed,31.0
202601,Jan-2026,PUNJAB,284981.7385,4196.31,0.0,271054.7273,3939.1532,0.0,95.11,54.63,12.57,78.79,2.53,False,observed,31.0
202602,Feb-2026,PUNJAB,344330.3013,5075.2602,345.51,338140.6654,4964.3054,0.1,98.2,65.45,18.58,66.88,0.68,False,observed,28.0
202603,Mar-2026,PUNJAB,316637.0246,4665.1795,0.0,313481.8476,4608.5122,0.0,99.0,76.3,24.61,58.33,1.12,False,observed,31.0
202604,Apr-2026,PUNJAB,469805.0251,6943.3418,0.0,467349.3133,6898.2352,0.0,99.48,85.5,29.72,38.26,1.05,False,observed,30.0
202605,May-2026,PUNJAB,345759.8317,5090.3382,0.0,342865.6417,5038.3535,0.0,99.16,91.53,33.07,39.03,0.83,False,observed,29.0
202606,Jun-2026,PUNJAB,124408.058,1830.4053,0.0,122459.388,1795.4053,0.0,98.43,92.94,33.86,52.24,5.87,True,monthly_climatology,
